Year,Month,State,Gross Statutory Allocation,Deduction,Exchange Gain,EMTL,Net Share of Ecology,VAT,Total Allocation
2024,May,ADAMAWA,1114712794,0,2043493888,140166528.1,0,94746200.46,3469324868
2024,May,ANAMBRA,1120736820,0,2054537146,200458069.9,0,95258218.97,4097435360
2024,May,BAUCHI,1272258070,0,2332306228,154005289.9,0,108136929,3767467623
2024,May,BORNO,1503058387,0,2755409866,180629201.8,0,127754047.6,4621782935
2024,May,EKITI,754329187.3,0,1382837887,110023058.9,0,64115012.23,2748819409
2024,May,ENUGU,965207388.3,0,1769420258,145072013,0,82038829.4,3020767428
2024,May,JIGAWA,1359040832,0,2491396573,175279018.2,0,115513122.1,4574187092
2024,May,KANO,2433296194,0,4460723811,352072373,0,206820600.1,8452192988
2024,May,KATSINA,1852509810,0,3396024965,232557725.9,0,157456043.3,5695694287
2024,May,LAGOS,1456588611,0,2670221371,551256709.4,0,123804299.5,23571918771
2024,May,OGUN,1007311354,0,1846605339,180392053.9,0,85617500.81,3533266417
2024,May,OSUN,1303115712,0,2388874524,192577241.8,0,110759707.1,4411599761
2024,May,OYO,1643778796,0,3013378822,282742947.6,0,139714728.5,7309525353
2024,May,SOKOTO,1286412555,0,2358254260,155240959.9,0,109340004.5,3877760626
2024,May,YOBE,969388954.2,0,1777085914,108481993.3,0,82394246.04,2713069680
2024,May,ZAMFARA,875907722,0,1605715918,107954147.3,0,74448709.2,2649826291
2024,May,FCT-ABUJA,386861534.7,0,709195396.7,120783687.1,0,32881707.94,2485939513
2024,,ADAMAWA,1746297015,0,3141451448,117076176.8,0,146632453.9,4360796747
2024,,ANAMBRA,1755734190,0,3158428185,167214542,0,147424871.2,5112999350
2024,,BAUCHI,1993105743,0,3585441004,129329293.2,0,167356402.4,4775837246
2024,,BORNO,2354675026,0,4235875802,151547304.1,0,197716524.8,5720700118
2024,,EKITI,1181723953,0,2125828762,90994653.11,0,99226581.44,3328607414
2024,,ENUGU,1512083463,0,2720119627,123658903.6,0,126966092.7,3788876195
2024,,JIGAWA,2129058679,0,3830009679,146815429.6,0,178772050.7,5823084787
2024,,KANO,3811975519,0,6857445160,294621902.5,0,320082620.4,10809945664
2024,,KATSINA,2902121848,0,5220689724,193937356,0,243684347.2,7320105587
2024,,LAGOS,2281875976,0,4104916017,453816358.5,0,191603759.8,27954847594
2024,,OGUN,1578043081,0,2838775809,147508432.3,0,132504566.7,4449789991
2024,,OSUN,2041446992,0,3672403121,159170681.1,0,171415503.4,5521160698
2024,,OYO,2575126097,0,4632450000,257086237.9,0,216227282.9,9680487488
2024,,SOKOTO,2015280006,0,3625330765,129795481,0,169218323.1,5011952450
2024,,YOBE,1518634259,0,2731903995,90834853.75,0,127516147.6,3381287556
2024,,ZAMFARA,1372187571,0,2468457882,90022622.01,0,115219363.6,3446550447
2024,,FCT-ABUJA,606053099.3,0,1090242021,98025982.29,0,50888853.6,5255731634
2023,January,ANAMBRA,3248878173,0,115539007.4,266352458,0,100932515.4,2092110024
2023,January,BAUCHI,3688119639,0,131159637.2,208672474.1,0,114578378.3,1891111147
2023,January,BORNO,4357181367,0,154953304.9,240898169.6,0,135364040.2,2264495099
2023,January,EKITI,2186707520,0,77765309.43,149483023.1,0,67934184.89,1268295287
2023,January,ENUGU,2798017484,0,99505166.28,194735266.5,0,86925679.5,1602957336
2023,January,JIGAWA,3939692188,0,140106246.1,235708379.3,0,122393953,2357176660
2023,January,KADUNA,4430556915,0,157562740.5,285642955.5,0,137643589.7,2479427972
2023,January,KATSINA,5370198054,0,190978953.3,310316161.1,0,166835310.2,2873761269
2023,January,LAGOS,4222471201,0,150162642.4,747327424.7,0,131179015.3,9994081637
2023,January,TARABA,2795011712,0,99398272.81,140714932.6,0,86832299.55,1267994623
2023,January,YOBE,2810139329,0,99936252.3,145095060.7,0,87302267.44,1325509160
2023,January,ZAMFARA,2539148736,0,90299084.51,144721147.4,0,78883434.63,1325832907
2023,January,FCT-ABUJA,1121463999,0,39882331.83,172072837.2,0,34840389.94,2401569207
2023,March,ANAMBRA,1785643821,0,549611980.6,128234430.6,0,70057674.04,1867436532
2023,March,BAUCHI,2027059093,0,623918359.3,101144295.9,0,79529323.58,1820730728
2023,March,BORNO,2394787853,0,737103379.5,117111459.2,0,93956736.97,2427658358
2023,March,EKITI,1201855091,0,369924813.2,71213918.26,0,47153397.12,1250047753
2023,March,ENUGU,1537842407,0,473339980.5,93310003.94,0,60335471.63,1470476507
2023,March,JIGAWA,2165328042,0,666476830.2,113515768.6,0,84954146.16,2170810131
