Year,Month,State,Gross Statutory Allocation,Deduction,Exchange Gain,EMTL,Net Share of Ecology,VAT,Total Allocation
2022,August,NIGER,4784785580,0,143543567.4,71771783.69,1579377087,6435934450,
2022,August,PLATEAU,3491787083,0,104753612.5,52376806.25,1146486005,4690649894,
2022,August,RIVERS,4328263663,0,129847909.9,64923954.95,3359385171,7752572789,
2022,August,TARABA,3267258533,0,98017756,0,953379604,4318655893,
2022,August,YOBE,3284942121,0,98548263.64,0,1036608653,4420099038,
2022,August,ZAMFARA,2968164799,0,89044943.97,0,1001167477,4058377220,
2022,August,FCT-ABUJA,1310947216,0,39328416.47,0,1581134715,2931410347,
2022,December,ABIA,2546010398,0,26387512.64,82257463.09,38585968.67,38585968.67,1234663837
2022,December,AKWA IBOM,4277431660,0,44332412.01,118264554,64826461.07,64826461.07,2109003750
2022,December,BAYELSA,1491913724,0,15462581.09,38701032.06,22610644.57,22610644.57,773440330.4
2022,December,DELTA,3576986788,0,37072819.55,133362542.2,54210894.11,54210894.11,2055581103
2022,December,EDO,2736879041,0,28365724.79,103238576.9,41478671.48,41478671.48,1420564369
2022,December,IMO,3726769689,0,38625208.41,115821217.7,56480923.45,56480923.45,1847935978
2022,December,KEBBI,3368207016,0,34908971.8,83183485.55,51046739.82,51046739.82,1478634804
2022,December,KWARA,2463376379,0,25531072.21,73048495.16,37333611.77,37333611.77,1144625514
2022,December,NIGER,4067877390,0,42160537.17,105297039,61650568.91,61650568.91,1829615155
2022,December,PLATEAU,2968609876,0,30767443.32,78858424.77,44990659.79,44990659.79,1349924647
2022,December,RIVERS,3679756512,0,38137951.64,132656326.2,55768416.95,55768416.95,4263391571
2022,February,ABIA,967277821.3,0,415123382.4,19235123.99,21024544.92,21024544.92,1080162814
2022,February,AKWA IBOM,1625077721,0,697429162,32316022.12,35322343.58,35322343.58,1903988088
2022,February,BAYELSA,566806426.7,0,243254415.5,11271417.22,12319983.89,12319983.89,829874283.9
2022,February,DELTA,1358965379,0,583222619.7,27024156.86,29538182.34,29538182.34,1650915144
2022,February,EDO,1039792452,0,446244243.7,20677137.74,22600707.51,22600707.51,1233997699
2022,February,IMO,1415870755,0,607644509.1,28155767.59,30775065.47,30775065.47,1616569622
2022,February,KEBBI,1279645969,0,549181374.1,25446824.42,27814112.52,27814112.52,1294330667
2022,February,KWARA,935883584.3,0,401650022.9,18610823.48,20342166.46,20342166.46,1007819369
2022,February,NIGER,1545464065,0,663261635.7,30732838.34,33591878.08,33591878.08,1578268962
2022,February,PLATEAU,1127831408,0,484027627.5,22427865.61,24514303.52,24514303.52,1153910217
2022,February,RIVERS,1398009554,0,599979077.3,27800582.75,30386838.21,30386838.21,2641013479
2023,February,ABIA,1479446543,0,415123382.4,62268507.36,58705152.98,29352576.49,29352576.49
2023,February,AKWA IBOM,2485548168,0,697429162,104614374.3,98627751.12,49313875.56,49313875.56
2023,February,BAYELSA,866927567.1,0,243254415.5,36488162.32,34400104.35,17200052.17,17200052.17
